town33_AL|population,11|pct_urban,69|pct_white,74|pct_indian,3|pct_black,9|pct_asian,3|pct_hispanic,68
town34_AL|population,65|pct_urban,3|pct_white,61|pct_indian,-24|pct_black,5|pct_asian,-24|pct_hispanic,44
town35_AL|population,52|pct_urban,93|pct_white,68|pct_indian,-23|pct_black,1|pct_asian,-23|pct_hispanic,71
town36_AL|population,47|pct_urban,83|pct_white,79|pct_indian,12|pct_black,3|pct_asian,12|pct_hispanic,5
town37_AL|population,20|pct_urban,90|pct_white,70|pct_indian,16|pct_black,12|pct_asian,16|pct_hispanic,58
town38_AL|population,14|pct_urban,10|pct_white,52|pct_indian,-31|pct_black,5|pct_asian,-31|pct_hispanic,24
town39_AL|population,89|pct_urban,81|pct_white,39|pct_indian,-30|pct_black,1|pct_asian,-30|pct_hispanic,7
town40_AL|population,34|pct_urban,95|pct_white,21|pct_indian,71|pct_black,6|pct_asian,71|pct_hispanic,15
town41_AL|population,67|pct_urban,70|pct_white,65|pct_indian,-20|pct_black,1|pct_asian,-20|pct_hispanic,46
town42_AL|population,61|pct_urban,92|pct_white,7|pct_indian,-5|pct_black,82|pct_asian,-5|pct_hispanic,85
town43_AL|population,43|pct_urban,84|pct_white,10|pct_indian,22|pct_black,6|pct_asian,22|pct_hispanic,90
town44_AL|population,56|pct_urban,41|pct_white,11|pct_indian,43|pct_black,44|pct_asian,43|pct_hispanic,23
town45_AL|population,33|pct_urban,48|pct_white,46|pct_indian,-7|pct_black,35|pct_asian,-7|pct_hispanic,83
town46_AL|population,61|pct_urban,17|pct_white,39|pct_indian,3|pct_black,52|pct_asian,3|pct_hispanic,45
town47_AL|population,34|pct_urban,5|pct_white,55|pct_indian,-8|pct_black,31|pct_asian,-8|pct_hispanic,43
town48_AL|population,15|pct_urban,53|pct_white,64|pct_indian,-8|pct_black,14|pct_asian,-8|pct_hispanic,65
town49_AL|population,34|pct_urban,1|pct_white,4|pct_indian,-49|pct_black,15|pct_asian,-49|pct_hispanic,86
town50_AL|population,81|pct_urban,30|pct_white,12|pct_indian,0|pct_black,2|pct_asian,0|pct_hispanic,16
town51_AL|population,70|pct_urban,18|pct_white,34|pct_indian,16|pct_black,6|pct_asian,16|pct_hispanic,89
town52_AL|population,72|pct_urban,19|pct_white,54|pct_indian,-15|pct_black,7|pct_asian,-15|pct_hispanic,75
town53_AL|population,31|pct_urban,5|pct_white,25|pct_indian,34|pct_black,7|pct_asian,34|pct_hispanic,22
town54_AL|population,38|pct_urban,24|pct_white,55|pct_indian,-4|pct_black,27|pct_asian,-4|pct_hispanic,6
town55_AL|population,85|pct_urban,29|pct_white,13|pct_indian,16|pct_black,53|pct_asian,16|pct_hispanic,84
town56_AL|population,38|pct_urban,20|pct_white,23|pct_indian,-43|pct_black,4|pct_asian,-43|pct_hispanic,36
town57_AL|population,66|pct_urban,32|pct_white,78|pct_indian,1|pct_black,5|pct_asian,1|pct_hispanic,13
town58_AL|population,65|pct_urban,36|pct_white,39|pct_indian,-30|pct_black,25|pct_asian,-30|pct_hispanic,7
town59_AL|population,73|pct_urban,55|pct_white,26|pct_indian,-4|pct_black,16|pct_asian,-4|pct_hispanic,23
town60_AL|population,10|pct_urban,76|pct_white,20|pct_indian,-38|pct_black,20|pct_asian,-38|pct_hispanic,87
town61_AL|population,23|pct_urban,53|pct_white,42|pct_indian,-47|pct_black,3|pct_asian,-47|pct_hispanic,62
town62_AL|population,29|pct_urban,25|pct_white,24|pct_indian,-28|pct_black,30|pct_asian,-28|pct_hispanic,63
town63_AL|population,41|pct_urban,4|pct_white,11|pct_indian,17|pct_black,8|pct_asian,17|pct_hispanic,7
town64_AL|population,29|pct_urban,87|pct_white,59|pct_indian,-5|pct_black,2|pct_asian,-5|pct_hispanic,75
town65_AL|population,66|pct_urban,49|pct_white,13|pct_indian,-4|pct_black,31|pct_asian,-4|pct_hispanic,40
town66_AL|population,90|pct_urban,48|pct_white,15|pct_indian,4|pct_black,11|pct_asian,4|pct_hispanic,41
town67_AL|population,81|pct_urban,9|pct_white,43|pct_indian,-18|pct_black,21|pct_asian,-18|pct_hispanic,51
town68_AL|population,71|pct_urban,13|pct_white,40|pct_indian,7|pct_black,3|pct_asian,7|pct_hispanic,35
town69_AL|population,11|pct_urban,33|pct_white,44|pct_indian,-13|pct_black,7|pct_asian,-13|pct_hispanic,36
town70_AL|population,78|pct_urban,16|pct_white,61|pct_indian,-10|pct_black,5|pct_asian,-10|pct_hispanic,32
town71_AL|population,12|pct_urban,69|pct_white,28|pct_indian,46|pct_black,20|pct_asian,46|pct_hispanic,84
town72_AL|population,53|pct_urban,47|pct_white,43|pct_indian,-3|pct_black,8|pct_asian,-3|pct_hispanic,37
town73_AL|population,50|pct_urban,85|pct_white,70|pct_indian,-18|pct_black,4|pct_asian,-18|pct_hispanic,39
town74_AL|population,88|pct_urban,47|pct_white,17|pct_indian,60|pct_black,5|pct_asian,60|pct_hispanic,39
town75_AL|population,77|pct_urban,81|pct_white,18|pct_indian,-33|pct_black,25|pct_asian,-33|pct_hispanic,42
town76_AL|population,75|pct_urban,45|pct_white,64|pct_indian,-7|pct_black,7|pct_asian,-7|pct_hispanic,30
town77_AL|population,90|pct_urban,49|pct_white,37|pct_indian,-32|pct_black,21|pct_asian,-32|pct_hispanic,58
town78_AL|population,48|pct_urban,34|pct_white,74|pct_indian,-15|pct_black,1|pct_asian,-15|pct_hispanic,77
town79_AL|population,26|pct_urban,41|pct_white,79|pct_indian,-5|pct_black,10|pct_asian,-5|pct_hispanic,70
town80_AL|population,39|pct_urban,87|pct_white,22|pct_indian,-66|pct_black,4|pct_asian,-66|pct_hispanic,66
town81_AL|population,90|pct_urban,17|pct_white,34|pct_indian,49|pct_black,1|pct_asian,49|pct_hispanic,30
town82_AL|population,48|pct_urban,50|pct_white,59|pct_indian,11|pct_black,26|pct_asian,11|pct_hispanic,67
town83_AL|population,49|pct_urban,38|pct_white,43|pct_indian,-32|pct_black,19|pct_asian,-32|pct_hispanic,48
town84_AL|population,17|pct_urban,62|pct_white,38|pct_indian,24|pct_black,20|pct_asian,24|pct_hispanic,67
town85_AL|population,77|pct_urban,65|pct_white,21|pct_indian,-61|pct_black,6|pct_asian,-61|pct_hispanic,72
town86_AL|population,29|pct_urban,57|pct_white,20|pct_indian,-31|pct_black,15|pct_asian,-31|pct_hispanic,58
town87_AL|population,26|pct_urban,63|pct_white,65|pct_indian,-22|pct_black,3|pct_asian,-22|pct_hispanic,41
town88_AL|population,27|pct_urban,39|pct_white,60|pct_indian,-24|pct_black,6|pct_asian,-24|pct_hispanic,33
town89_AL|population,17|pct_urban,24|pct_white,34|pct_indian,27|pct_black,5|pct_asian,27|pct_hispanic,25
town90_AL|population,79|pct_urban,12|pct_white,36|pct_indian,5|pct_black,25|pct_asian,5|pct_hispanic,34
town91_AL|population,53|pct_urban,1|pct_white,53|pct_indian,-24|pct_black,5|pct_asian,-24|pct_hispanic,42
town92_AL|population,63|pct_urban,10|pct_white,7|pct_indian,52|pct_black,7|pct_asian,52|pct_hispanic,63
town93_AL|population,50|pct_urban,51|pct_white,78|pct_indian,13|pct_black,1|pct_asian,13|pct_hispanic,31
town94_AL|population,82|pct_urban,95|pct_white,40|pct_indian,-49|pct_black,5|pct_asian,-49|pct_hispanic,26
town95_AL|population,34|pct_urban,63|pct_white,58|pct_indian,-20|pct_black,10|pct_asian,-20|pct_hispanic,85
town96_AL|population,46|pct_urban,95|pct_white,44|pct_indian,-14|pct_black,4|pct_asian,-14|pct_hispanic,4
town97_AL|population,32|pct_urban,14|pct_white,78|pct_indian,-12|pct_black,2|pct_asian,-12|pct_hispanic,36
town98_AL|population,15|pct_urban,1|pct_white,71|pct_indian,-2|pct_black,19|pct_asian,-2|pct_hispanic,43
town99_AL|population,82|pct_urban,8|pct_white,45|pct_indian,5|pct_black,14|pct_asian,5|pct_hispanic,81
